"Title","M&A : Domestic : Number of companies acquired","M&A : Domestic : Value of ordinary shares : £m","M&A : Domestic : Value of preference & loan stock : £m","M&A : Outward : Number of acquisitions","M&A : Outward : Number of disposals","M&A : Inward : Number of acquisitions","M&A : Inward : Number of disposals","M&A : Outward : Number of acquisitions in EU : Annual","M&A : Outward : Value of acquisitions in EU : Annual : £m","M&A : Outward : Number of acquisitions in USA : Annual","M&A : Outward : Value of acquisitions in USA : Annual : £m","M&A : Outward : Value of acquisitions : £m","M&A : Outward : Number of disposals in EU : Annual","M&A : Outward : Value of disposals in EU : Annual : £m","M&A : Outward : Number of disposals in USA : Annual","M&A : Outward : Value of disposals in USA : Annual : £m","M&A : Outward : Value of disposals : £m","M&A : Outward : Number of acquisitions - direct transactions : Annual","M&A : Outward : Value of acquisitions - direct transactions : Annual : £m","M&A : Outward : Number of acquisitions - indirect funded in UK : Annual","M&A : Outward : Value of acquisitions - indirect funded in UK : Annual : £m","M&A : Outward : Number of acquisitions - indirect funded locally : Annual","M&A : Outward : Value of acquisitions - indirect funded locally : Annual : £m","M&A : Outward : Number of disposals - direct transactions : Annual","M&A : Outward : Value of disposals - direct transactions : Annual : £m","M&A : Outward : Number of disposals - indirect funded in UK : Annual","M&A : Outward : Value of disposals - indirect funded in UK : Annual : £m","M&A : Outward : Number of disposals - indirect funded locally : Annual","M&A : Outward : Value of disposals - indirect funded locally : Annual : £m","M&A : Inward : Number of acquisitions in EU : Annual","M&A : Inward : Value of acquisitions in EU : Annual : £m","M&A : Inward : Number of acquisitions in USA : Annual","M&A : Inward : Value of acquisitions in USA : Annual : £m","M&A : Inward : Value of acquisitions : £m","M&A : Inward : Number of disposals in EU : Annual","M&A : Inward : Value of disposals in EU : Annual : £m","M&A : Inward : Number of disposals in USA : Annual","M&A : Inward : Value of disposals in USA : Annual : £m","M&A : Inward : Value of disposals : £m","M&A : Inward : Number of acquisitions - direct transactions : Annual","M&A : Inward : Value of acquisitions - direct transactions : Annual : £m","M&A : Inward : Number of acquisitions - indirect by overseas parent : Annual","M&A : Inward : Value of acquisitions - indirect by overseas parent : Annual : £m","M&A : Inward : Number of acquisitions - indirect funded locally : Annual","M&A : Inward : Value of acquisitions - indirect funded locally : Annual : £m","M&A : Inward : Number of disposals - direct transactions : Annual","M&A : Inward : Value of disposals - direct transactions : Annual : £m","M&A : Inward : Number of disposals - indirect by overseas parent : Annual","M&A : Inward : Value of disposals - indirect by overseas parent : Annual : £m","M&A : Inward : Number of disposals - indirect funded locally : Annual","M&A : Inward : Value of disposals - indirect funded locally : Annual : £m","M&A : Domestic : Total expenditure - (Initial plus deferred payments) : £m","M&A : Domestic : M&A of independents : number acquired","M&A : Domestic : Sales of subsidiaries between groups : number acquired","M&A : Domestic : Cash expenditure on M&A of independent companies : £m","M&A : Domestic : Cash expenditure on M&A of subsidiaries : £m","M&A : Domestic : Percentage of M&A in cash","M&A : Domestic : Percentage of M&A in ordinary shares","M&A : Domestic : Percentage of M&A in fixed interest securities","Europe Total Inward Acquisitions Number","Europe Total Inward Acquisitions Value: £m","Europe Total Inward Disposals Number","Europe Total Inward Disposals Value: £m","Europe Total Outward Acquisitions Number","Europe Total Outward Acquisitions Value :£m","Europe Total Outward Disposals Number","Europe Total Outward Disposals Value :£m","Other Europe Inward Acquisitions Number","Other Europe Inward Acquisitions Value :£m","Other Europe Inward Disposals Number","Other Europe Inward Disposals Value :£m","Other Europe Outward Acquisitions Number","Other Europe Outward Acquisitions Value :£m","Other Europe Outward Disposals Number","Other Europe Outward Disposals Value :£m","Other Americas Inward Acquisitions Number","Other Americas Inward Acquisitions Value :£m","Other Americas Inward Disposals Number","Other Americas Inward Disposals Value :£m","Other Americas Outward Acquisitions Number","Other Americas Outward Acquisitions Value :£m","Other Americas Outward Disposals Number","Other Americas Outward Disposals Value :£m","Americas Total Inward Acquisitions Number","Americas Total Inward Acquisitions Value :£m","Americas Total Inward Disposals Number","Americas Total Inward Disposals Value :£m","Americas Total Outward Acquisitions Number","Americas Total Outward Acquisitions Value :£m","Americas Total Outward Disposals Number","Americas Total Outward Disposals Value :£m","Asia Inward Acquisitions Number","Asia Inward Acquisitions Value :£m","Asia Inward Disposals Number","Asia Inward Disposals Value :£m","Asia Outward Acquisitions Number","Asia Outward Acquisitions Value :£m","Asia Outward Disposals Number","Asia Ouward Disposals Value :£m","Australasia & Oceania Inward Acquisitions Number","Australasia & Oceania Inward Acquisitions Value :£m","Australasia & Oceania Inward Disposals Number","Australasia & Oceania Inward Disposals Value :£m","Australasia & Oceania Outward Acquisitions Number","Australasia & Oceania Outward Acquisitions Value :£m","Australasia & Oceania Outward Disposals Number","Australasia & Oceania Outward Disposals Value :£m","Africa Inward Acquisitions Number","Africa Inward Acquisitions Value :£m","Africa Inward Disposals Number","Africa Inward Disposals Value :£m","Africa Outward Acquisitions Number","Africa Outward Acquisitions Value :£m","Africa Outward Disposals Number","Africa Outward Disposals Value :£m","M&A : Domestic : M&A of independents : Total payments : £m","M&A : Domestic : Sales of subsidiaries between groups : Total payments : £m"
"CDID","AIHA","AIHD","AIHE","CBAQ","CBAS","CBAU","CBAW","CBAY","CBAZ","CBBA","CBBB","CBBI","CBBJ","CBBK","CBBL","CBBM","CBBT","CBBU","CBBV","CBBW","CBBX","CBBY","CBBZ","CBCA","CBCB","CBCC","CBCD","CBCE","CBCF","CBCG","CBCH","CBCI","CBCJ","CBCQ","CBCR","CBCS","CBCT","CBCU","CBDB","CBDC","CBDD","CBHZ","CBIA","CBIB","CBIC","CBID","CBIE","CBIF","CBIG","CBIH","CBII","DUCM","DWVH","DWVL","DWVW","DWVX","DWVY","DWVZ","DWWA","HCI7","HCI8","HCI9","HCJ2","HCJ3","HCJ4","HCJ5","HCJ6","HCJ7","HCJ8","HCJ9","HCK2","HCK3","HCK4","HCK5","HCK6","HCK7","HCK8","HCK9","HCL2","HCL3","HCL4","HCL5","HCL6","HCL7","HCL8","HCL9","HCM2","HCM3","HCM4","HCM5","HCM6","HCM7","HCM8","HCM9","HCN2","HCN3","HCN4","HCN5","HCN6","HCN7","HCN8","HCN9","HCO2","HCO3","HCO4","HCO5","HCO6","HCO7","HCO8","HCO9","HCP2","HCP3","HCP4","HCP5","HCP6","HIKB","HIKC"
"PreUnit","","£","£","","","","","","","","","£","","","","","£","","","","","","","","","","","","","","","","","£","","","","","£","","","","","","","","","","","","","£","","","£","£","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","£","£"
"Unit","","m","m","","","","","","","","","m","","","","","m","","","","","","","","","","","","","","","","","m","","","","","m","","","","","","","","","","","","","m","","","m","m","%","%","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","m","m"
"Release Date","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026","02-06-2026"
"Next release","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026","1 September 2026"
"Important Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1969","846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1069","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970","793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1122","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1971","884","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972","1210","1459","580","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2532","938","272","373","120","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
